concept_key,concept_description,rank,planning_area,primary_metric,primary_value,criteria_used,criteria_snapshot,kmeans_cluster,cluster_label,cluster_description,cluster_assignment_method,recommendation_summary,total_footfall,competitor_count,rent_proxy_psm,low_income_ratio,mid_income_ratio,high_income_ratio,primary_demographic,primary_demographic_share
affordable_everyday_meal,Affordable everyday dining,1,WOODLANDS,log_footfall,16.877,"log_footfall, low_income_ratio, mid_income_ratio, hawker_stall_count_ratio, mean_price_mid",log_footfall=16.877; low_income_ratio=0.207; mid_income_ratio=0.420; hawker_stall_count_ratio=0.388; mean_price_mid=9.172,0,Mainstream Urban / Heartland,"supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",fit,"This area is shortlisted for an affordable everyday dining and belongs to the Mainstream Urban / Heartland cluster, which supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",21356172,206,131.97,0.207,0.42,0.374,Mid-Age Adults,0.304
affordable_everyday_meal,Affordable everyday dining,2,BEDOK,log_footfall,16.674,"log_footfall, low_income_ratio, mid_income_ratio, hawker_stall_count_ratio, mean_price_mid",log_footfall=16.674; low_income_ratio=0.226; mid_income_ratio=0.309; hawker_stall_count_ratio=0.161; mean_price_mid=13.390,0,Mainstream Urban / Heartland,"supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",fit,"This area is shortlisted for an affordable everyday dining and belongs to the Mainstream Urban / Heartland cluster, which supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",17435585,409,226.14,0.226,0.309,0.465,Mid-Age Adults,0.283
affordable_everyday_meal,Affordable everyday dining,3,BUKIT MERAH,log_footfall,16.612,"log_footfall, low_income_ratio, mid_income_ratio, hawker_stall_count_ratio, mean_price_mid",log_footfall=16.612; low_income_ratio=0.284; mid_income_ratio=0.274; hawker_stall_count_ratio=0.395; mean_price_mid=13.536,0,Mainstream Urban / Heartland,"supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",fit,"This area is shortlisted for an affordable everyday dining and belongs to the Mainstream Urban / Heartland cluster, which supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",16390155,403,286.56,0.284,0.274,0.442,Mid-Age Adults,0.297
affordable_everyday_meal,Affordable everyday dining,4,GEYLANG,log_footfall,16.496,"log_footfall, low_income_ratio, mid_income_ratio, hawker_stall_count_ratio, mean_price_mid",log_footfall=16.496; low_income_ratio=0.267; mid_income_ratio=0.337; hawker_stall_count_ratio=0.223; mean_price_mid=13.368,0,Mainstream Urban / Heartland,"supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",fit,"This area is shortlisted for an affordable everyday dining and belongs to the Mainstream Urban / Heartland cluster, which supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",14594907,485,128.86,0.267,0.337,0.396,Mid-Age Adults,0.288
affordable_everyday_meal,Affordable everyday dining,5,YISHUN,log_footfall,16.476,"log_footfall, low_income_ratio, mid_income_ratio, hawker_stall_count_ratio, mean_price_mid",log_footfall=16.476; low_income_ratio=0.237; mid_income_ratio=0.395; hawker_stall_count_ratio=0.157; mean_price_mid=12.365,0,Mainstream Urban / Heartland,"supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",fit,"This area is shortlisted for an affordable everyday dining and belongs to the Mainstream Urban / Heartland cluster, which supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",14304556,166,97.14,0.237,0.395,0.368,Mid-Age Adults,0.295
premium_cafe,Premium cafe / specialty cafe,1,TANGLIN,mean_price_mid,50.667,"mean_price_mid, high_income_ratio, unique_category_count, mean_rating",mean_price_mid=50.667; high_income_ratio=0.810; unique_category_count=36.000; mean_rating=4.357,2,Premium Central / Lifestyle,"supports higher price points, stronger ratings, and greater category diversity.",fit,"This area is shortlisted for a premium cafe / specialty cafe and belongs to the Premium Central / Lifestyle cluster, which supports higher price points, stronger ratings, and greater category diversity.",2359005,68,42.59,0.058,0.132,0.81,Mid-Age Adults,0.347
premium_cafe,Premium cafe / specialty cafe,2,RIVER VALLEY,mean_price_mid,48.559,"mean_price_mid, high_income_ratio, unique_category_count, mean_rating",mean_price_mid=48.559; high_income_ratio=0.776; unique_category_count=21.000; mean_rating=4.463,2,Premium Central / Lifestyle,"supports higher price points, stronger ratings, and greater category diversity.",fit,"This area is shortlisted for a premium cafe / specialty cafe and belongs to the Premium Central / Lifestyle cluster, which supports higher price points, stronger ratings, and greater category diversity.",328637,27,44.24,0.083,0.14,0.776,Mid-Age Adults,0.384
premium_cafe,Premium cafe / specialty cafe,3,OUTRAM,mean_price_mid,42.372,"mean_price_mid, high_income_ratio, unique_category_count, mean_rating",mean_price_mid=42.372; high_income_ratio=0.387; unique_category_count=76.000; mean_rating=4.459,2,Premium Central / Lifestyle,"supports higher price points, stronger ratings, and greater category diversity.",fit,"This area is shortlisted for a premium cafe / specialty cafe and belongs to the Premium Central / Lifestyle cluster, which supports higher price points, stronger ratings, and greater category diversity.",4332449,323,60.02,0.359,0.254,0.387,Mid-Age Adults,0.295
premium_cafe,Premium cafe / specialty cafe,4,DOWNTOWN CORE,mean_price_mid,33.6,"mean_price_mid, high_income_ratio, unique_category_count, mean_rating",mean_price_mid=33.600; high_income_ratio=0.740; unique_category_count=117.000; mean_rating=4.309,2,Premium Central / Lifestyle,"supports higher price points, stronger ratings, and greater category diversity.",fit,"This area is shortlisted for a premium cafe / specialty cafe and belongs to the Premium Central / Lifestyle cluster, which supports higher price points, stronger ratings, and greater category diversity.",15722045,760,211.15,0.073,0.187,0.74,Mid-Age Adults,0.407
premium_cafe,Premium cafe / specialty cafe,5,BUKIT TIMAH,mean_price_mid,15.242,"mean_price_mid, high_income_ratio, unique_category_count, mean_rating",mean_price_mid=15.242; high_income_ratio=0.775; unique_category_count=54.000; mean_rating=4.298,0,Mainstream Urban / Heartland,"supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",fit,"This area is shortlisted for a premium cafe / specialty cafe and belongs to the Mainstream Urban / Heartland cluster, which supports stronger everyday demand, denser competition, and a more mass-market, affordable environment.",6448367,180,102.65,0.071,0.154,0.775,Mid-Age Adults,0.3
